"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/25/2015","Pending","Pending CRAFT PRIDE AUSTIN TX","20.50","debit","Alcohol & Bars","8141","",""
"6/17/2015","Pending Alamo Drafthouse","Pending ALAMO DRAFTHOUSE CINEM AUSTIN TX","6.50","debit","Entertainment","8141","",""
"7/03/2015","Bar Ninety Six","BAR NINETY SIX AUSTIN AUSTIN TX","25.55","debit","Alcohol & Bars","8141","",""
"7/03/2015","Lucilles","LUCILLE AUSTIN TX","18.00","debit","Alcohol & Bars","8141","",""
"7/03/2015","Buckshot","BUCKSHOT AUSTIN TX","12.83","debit","Alcohol & Bars","8141","",""
"7/02/2015","Eureka Austin Austin","EUREKA AUSTIN AUSTIN TX","37.12","debit","Restaurants","8141","",""
"7/02/2015","Transfer to AAdvantage Aviator","1ST FOOD MART AUSTIN TX","7.57","debit","Credit Card Payment","8141","",""
"7/02/2015","HEB","HEB #045 AUSTIN TX","39.16","debit","Groceries","8141","",""
"7/01/2015","Capitol Cleaners","CAPITOL CLEANERS AUSTIN TX","28.00","debit","Laundry","8141","",""
"7/01/2015","HEB","HEB #045 AUSTIN TX","13.29","debit","Groceries","8141","",""
"6/28/2015","Lucilles","LUCILLE AUSTIN TX","14.16","debit","Alcohol & Bars","8141","",""
"6/28/2015","Bungalow","BUNGALOW AUSTIN TX","7.50","debit","Alcohol & Bars","8141","",""
"6/26/2015","HEB","HEB #045 AUSTIN TX","53.66","debit","Groceries","8141","",""
"6/25/2015","Craft Pride","CRAFT PRIDE AUSTIN TX","23.50","debit","Alcohol & Bars","8141","",""
"6/24/2015","Pecan Food Mart","PECAN FOOD MART AUSTIN TX","9.73","debit","Groceries","8141","",""
"6/20/2015","Little Woodrow's","LITTLE WOODROWS W 6TH AUSTIN TX","30.99","debit","Alcohol & Bars","8141","",""
"6/20/2015","Yellow Cab","YELLOW CAB OF AUSTIN AUSTIN TX","11.00","debit","Rental Car & Taxi","8141","",""
"6/20/2015","Maiko Sushi Lounge","MAIKO'S SUSHI LOUNGE AUSTIN TX","30.17","debit","Alcohol & Bars","8141","",""
"6/19/2015","Little Woodrow's","LITTLE WOODROWS W 6TH AUSTIN TX","8.00","debit","Alcohol & Bars","8141","",""
"6/19/2015","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA","17.76","debit","Shopping","8141","",""
"6/17/2015","Slaughter Lane","ALAMO SLAUGHTER LANE R 512-861-7060 TX","23.00","debit","Business Services","8141","",""
"6/17/2015","Alamo Drafthouse","ALAMO DRAFTHOU00002469 AUSTIN TX","14.18","debit","Movies & DVDs","8141","",""
"6/17/2015","Austin Parking Meters","AUSTIN PARKING METERS AUSTIN TX","3.00","debit","Parking","8141","",""
"6/17/2015","Austin Music Hall","AUSTIN MUSIC HALL AUSTIN TX","7.00","debit","Entertainment","8141","",""
"6/17/2015","Transfer from TOTAL CHECKING","AUTOPAY 999990000091305RAUTOPAY AUTO-PMT","530.95","credit","Credit Card Payment","8141","",""
"6/16/2015","HEB","HEB #045 AUSTIN TX","60.08","debit","Groceries","8141","",""
"6/16/2015","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA","77.36","debit","Shopping","8141","",""
"6/15/2015","Chick-Fil-A","CHICK-FIL-A #01903 AUSTIN TX","6.48","debit","Fast Food","8141","",""
"6/14/2015","Yellow Cab","YELLOW CAB OF AUSTIN AUSTIN TX","12.10","debit","Rental Car & Taxi","8141","",""
"6/14/2015","P Terrys Burger Stand","P TERRY'S BURGER STAND AUSTIN TX","7.04","debit","Fast Food","8141","",""
"6/14/2015","Torchys Tacos","TORCHYS TACOS - 3 - GU AUSTIN TX","13.45","debit","Restaurants","8141","",""
"6/13/2015","Chevron","CHEVRON 0107143 Q61 AUSTIN TX","10.78","debit","Groceries","8141","",""
"6/13/2015","Rattle Inn","THE RATTLE INN AUSTIN TX","31.20","debit","Alcohol & Bars","8141","",""
